selected,left,right,elapsed,,,
c_Co_R,c_Co_G,c_Co_R,2.352,,,
c_An_R,c_Co_G,c_An_R,1.451,,,
c_Co_B,c_Co_B,c_An_R,1.285,,,
a_An_R,a_An_G,a_An_R,0.917,,,
a_SpCo_B,a_SpCo_B,a_An_R,0.884,,,
a_An_R,a_CC,a_An_R,1.401,,,
c_Tr,c_Tr,c_CC,1.068,,,
a_Tr,a_Tr,a_An_G,0.917,,,
a_Tr,a_Tr,a_SpCo_R,8.141,,,
c_Tr,c_Tr,c_An_B,1.234,,,
c_An_G,c_Co_G,c_An_G,3.803,,,
a_Tr,a_Tr,a_An_R,1.785,,,
a_SatL_B,a_SatL_B,a_SatH_B,1.885,,,
a_An_G,a_SpCo_G,a_An_G,1.469,,,
c_SpCo_R,c_SpCo_R,c_An_B,1.551,,,
c_SpCo_B,c_SpCo_B,c_Co_R,1.334,,,
c_Co_B,c_CC,c_Co_B,1.435,,,
a_Co_B,a_Co_B,a_An_B,2.719,,,
a_CC,a_CC,a_An_G,2.935,,,
c_SpCo_G,c_SpCo_G,c_Co_G,1.602,,,
a_Tr,a_Tr,a_An_B,1.935,,,
a_Co_B,a_Co_G,a_Co_B,1.451,,,
c_Co_R,c_SpCo_G,c_Co_R,1.818,,,
c_Tr,c_Tr,c_Co_R,1.035,,,
a_CC,a_CC,a_Co_B,4.02,,,
c_Tr,c_Tr,c_Co_B,1.101,,,
a_SpCo_G,a_SpCo_G,a_Co_G,2.535,,,
c_SpCo_R,c_SpCo_R,c_Co_B,1.118,,,
a_Co_R,a_CC,a_Co_R,1.434,,,
a_An_B,a_SpCo_G,a_An_B,1.318,,,
a_An_R,a_Co_R,a_An_R,1.134,,,
c_Co_R,c_Co_R,c_An_R,5.239,,,
a_CC,a_CC,a_SpCo_G,1.034,,,
a_SpCo_B,a_Tr,a_SpCo_B,0.734,,,
a_SpCo_B,a_SpCo_G,a_SpCo_B,1.251,,,
c_An_R,c_An_G,c_An_R,2.986,,,
c_An_R,c_CC,c_An_R,1.651,,,
c_An_B,c_Co_B,c_An_B,1.618,,,
a_Tr,a_Tr,a_Co_R,1.168,,,
a_An_B,a_CC,a_An_B,2.135,,,
c_Co_R,c_CC,c_Co_R,1.501,,,
c_SpCo_R,c_SpCo_R,c_An_R,1.685,,,
c_An_B,c_An_B,c_An_R,2.669,,,
c_SpCo_B,c_SpCo_B,c_An_R,0.701,,,
c_An_B,c_An_G,c_An_B,0.867,,,
